"","RETAILER","VOLUME","DISP","PRICE"
"81","BIRMINGHAM/MONTGOM - WINN DIXIE",4061,0.05838907,2.56981
"82","HARRISBURG/SCRANTN - GIANT FOOD STO",1766,0.15,2.560023
"83","NEW YORK (NEW) - A & P",8636,0,2.699745
"84","NEW YORK (NEW) - PATHMARK",3243,0,4.386679
"85","NEW YORK (NEW) - WALDBAUMS",790,0,4.478481
"86","ROANOKE (NEW) - FOOD LION",3187,0,2.775024
"87","ROANOKE (NEW) - KROGER CO",4011,0,2.722513
"88","LOS ANGELES - LUCKY",18170,0.202,2.585746
"89","LOS ANGELES - RALPHS",5025,0.079081566,3.719602
"90","LOS ANGELES - VONS",9495,0.14,2.769774
"91","CHICAGO - DOMINICK",5937,0.004140677,2.652181
"92","CHICAGO - JEWEL",47658,0.090558386,1.986676
"93","CHICAGO - OMNI",2737,0,2.38692
"94","HOUSTON - KROGER CO",6847,0.031,2.461662
"95","HOUSTON - RANDALLS",4222,0,2.817859
"96","PITTSBURGH - GIANT EAGLE",5697,0.254,2.520098
"97","DETROIT - FARMER JACKS",5647,0.100920414,3.12697
"98","DETROIT - KROGER CO",4010,0,2.746633
"99","CLEVELAND - STOP N SHOP",5551,0.00633793,2.73194
"100","ST. LOUIS - NATIONAL SUPER",2349,0.264,3.586633
"101","ST. LOUIS - SCHNUCK MARKETS",5471,0.152,3.30159
"102","DALLAS/FT. WORTH - ALBERTSONS",2974,0,3.453598
"103","DALLAS/FT. WORTH - KROGER CO",3230,0,2.919505
"104","DALLAS/FT. WORTH - TOM THUMB",3880,0,2.666495
"105","BOSTON - SHAWS",2368,0,2.386402
"106","BOSTON - STAR MARKET",539,0,3.111317
"107","BOSTON - STOP & SHOP",2137,0,2.559195
"108","SAN FRANCISCO - LUCKY",6211,0.039,3.442763
"109","TAMPA/ST. PETE - KASH N KARRY",3215,0,2.910731
"110","TAMPA/ST. PETE - PUBLIX",4220,0,3.013033
"111","TAMPA/ST. PETE - WINN DIXIE",3221,0,2.879851
"112","DENVER - KING SOOPERS INC",3034,0,3.605471
"113","PHILADELPHIA - ACME MARKET",2639,0.037378392,3.62069
"114","ATLANTA - KROGER CO",4651,0,2.968394
"115","ATLANTA - WINN DIXIE",1750,0,2.639429
"116","CINCINNATI - KROGER CO",5091,0,2.653506
"117","INDIANAPOLIS - KROGER CO",3524,0.04688961,2.662883
"118","OKLAHOMA CITY - HOMELAND",1993,0.104471047,2.844957
"119","SACRAMENTO - RALEYS",1302,0.087,3.777266
"120","SAN DIEGO - LUCKY",7602,0.3895,2.698237
"121","SAN DIEGO - RALPHS",1759,0.062805556,3.719159
"122","SALT LAKE CITY - SMITHS FOOD",1295,0.066,2.654054
"123","PHOENIX - SAFEWAY",1224,0,3.320261
"124","PHOENIX - FRY'S FOOD STORE",5132,0,2.653546
"125","PHOENIX - SMITHS FOOD",959,0,3.18561
"126","MIAMI - PUBLIX",8736,0.043302413,2.726992
"127","MIAMI - WINN DIXIE",7058,0.114106656,2.534996
"128","NASHVILLE - KROGER CO",2439,0.18,2.832718
"129","RALEIGH/GREENSBORO - WINN DIXIE",2120,0.014781171,2.569811
"130","RALEIGH/GREENSBORO - FOOD LION",5289,0.014832796,2.668179
"131","ALBANY,NY - PRICE CHOPPER",695,0,3.053237
"132","BALTI/WASH - GIANT FOOD INC",4031,0,3.789134
"133","BALTI/WASH - SAFEWAY",5272,0,3.319803
"134","BALTI/WASH - SUPER FRESH",1516,0,3.449208
"135","MILWAUKEE - KOHLS FOOD STORE",1628,0,3.074939
"136","NEW ORLEANS - WINN DIXIE",5515,0,2.355576
"137","BUFFALO/ROCHESTER - TOPS MARKETS",1990,0,3.242211
"138","BUFFALO/ROCHESTER - WEGMANS",2009,0.153333333,3.263813
"139","CHARLOTTE - BI LO",1233,0,2.333333
"140","CHARLOTTE - HARRIS TEETER",1712,0,2.703855
"141","CHARLOTTE - WINN DIXIE",2120,0.044393064,2.333019
"142","CHARLOTTE - FOOD LION",4555,0.061386503,2.655543
"143","HARTFORD - STOP & SHOP",1357,0,3.379514
"144","JACKSONVILLE,FL - PUBLIX",1293,0,2.996906
"145","JACKSONVILLE,FL - WINN DIXIE",2114,0,2.700568
"146","JACKSONVILLE,FL - FOOD LION",1574,0.107448916,2.6169
"147","LOUISVILLE - KROGER CO",3242,0.079455842,2.675509
"148","LOUISVILLE - WINN DIXIE",1645,0.462,2.600608
"149","RICHMOND/NORFOLK - FOOD LION",5578,0,2.790068
"150","RICHMOND/NORFOLK - NEW FARM FRESH",2346,0,2.536232
"151","COLUMBUS,OH - BIG BEAR",1111,0,3.320432
"152","COLUMBUS,OH - KROGER CO",11942,0.082167991,1.71998
"153","LITTLE ROCK - HARVEST FOODS",1583,0.021015373,2.970941
"154","WICHITA - DILLON COMPANIES",1311,0,3.134249
"155","SOUTH CAROLINA - BI LO",6176,0.104,2.333387
"156","SOUTH CAROLINA - FOOD LION",2255,0,2.614191
"157","SOUTH CAROLINA - WINN DIXIE",2196,0,2.386612
"158","ORLANDO,FL - PUBLIX",3553,0,3.029271
"159","ORLANDO,FL - WINN DIXIE",3605,0,2.404993
"160","ORLANDO,FL - FOOD LION",1238,0.172251076,2.596931
"161","SYRACUSE - P & C FOOD MARKE",562,0,3.298932
"162","SYRACUSE - PRICE CHOPPER",474,0.0525,2.871308
"163","SYRACUSE - WEGMANS",601,0.124,3.472546
"164","NEW ENGLAND (NORTH) - SHOP N SAVE",2941,0,2.386263
"165","SAN ANT/CORPUS CHR - H E BUTT",10613,0.108,3.186752
"166","BIRMINGHAM/MONTGOM - BRUNOS",12952,0.091893617,2.131949
"167","BIRMINGHAM/MONTGOM - KROGER",1728,0.152,2.652778
"168","BIRMINGHAM/MONTGOM - WINN DIXIE",2807,0.098954704,2.695761
"169","HARRISBURG/SCRANTN - GIANT FOOD STO",1495,0.15,2.573913
"170","NEW YORK (NEW) - A & P",3529,0,4.399547
"171","NEW YORK (NEW) - PATHMARK",2626,0,4.387281
"172","NEW YORK (NEW) - WALDBAUMS",1577,0,4.499683
"173","ROANOKE (NEW) - FOOD LION",2874,0,2.720946
"174","ROANOKE (NEW) - KROGER CO",4336,0.02483878,2.700876
"175","LOS ANGELES - LUCKY",15740,0.1675,2.602414
"176","LOS ANGELES - RALPHS",6665,0.061369128,3.72003
"177","LOS ANGELES - VONS",8021,0.055,3.742301
"178","CHICAGO - DOMINICK",5151,0.006174204,3.293924
"179","CHICAGO - JEWEL",13934,0,3.230946
"180","CHICAGO - OMNI",3161,0,2.737109
"181","HOUSTON - KROGER CO",8010,0.149143064,2.44432
"182","HOUSTON - RANDALLS",3608,0,3.679324
"183","PITTSBURGH - GIANT EAGLE",4432,0.158441558,2.519856
"184","DETROIT - FARMER JACKS",4599,0.073609254,3.180474
"185","DETROIT - KROGER CO",3945,0,2.745247
"186","CLEVELAND - STOP N SHOP",3789,0.007218984,3.026392
"187","ST. LOUIS - NATIONAL SUPER",1653,0.154,3.681186
"188","ST. LOUIS - SCHNUCK MARKETS",3822,0.004656927,3.043433
"189","DALLAS/FT. WORTH - ALBERTSONS",3489,0,3.186873
"190","DALLAS/FT. WORTH - KROGER CO",3082,0,2.919857
"191","DALLAS/FT. WORTH - TOM THUMB",3524,0.084,3.053065
"192","BOSTON - SHAWS",3094,0,2.386555
"193","BOSTON - STAR MARKET",671,0,3.09389
"194","BOSTON - STOP & SHOP",1926,0,2.576843
"195","SAN FRANCISCO - LUCKY",5532,0.037151689,3.412871
"196","TAMPA/ST. PETE - KASH N KARRY",3489,0,3.060476
"197","TAMPA/ST. PETE - PUBLIX",4484,0.005894737,2.991971
"198","TAMPA/ST. PETE - WINN DIXIE",4976,0,2.778738
"199","DENVER - KING SOOPERS INC",3692,0,3.510022
"200","PHILADELPHIA - ACME MARKET",8319,0.132,2.386825
"201","ATLANTA - KROGER CO",4090,0.030872226,2.944254
"202","ATLANTA - WINN DIXIE",2286,0.212,2.639545
"203","CINCINNATI - KROGER CO",5545,0,2.653201
"204","INDIANAPOLIS - KROGER CO",3378,0.070888412,2.678508
"205","OKLAHOMA CITY - HOMELAND",1598,0.048954164,2.767209
"206","SACRAMENTO - RALEYS",1551,0.2655,3.82334
"207","SAN DIEGO - LUCKY",6221,0.344,2.712426
"208","SAN DIEGO - RALPHS",2210,0.069054329,3.720362
"209","SALT LAKE CITY - SMITHS FOOD",858,0.172,3.987179
"210","PHOENIX - SAFEWAY",988,0,3.587045
"211","PHOENIX - FRY'S FOOD STORE",1949,0,3.585942
"212","PHOENIX - SMITHS FOOD",1045,0,3.185646
"213","MIAMI - PUBLIX",10354,0.013051643,2.730249
"214","MIAMI - WINN DIXIE",9003,0,2.538376
"215","NASHVILLE - KROGER CO",2413,0.181,2.807708
"216","RALEIGH/GREENSBORO - WINN DIXIE",2350,0.013873841,2.528085
"217","RALEIGH/GREENSBORO - FOOD LION",5195,0.02230117,2.687199
"218","ALBANY,NY - PRICE CHOPPER",661,0,3.049924
"219","BALTI/WASH - GIANT FOOD INC",4337,0,3.749596
"220","BALTI/WASH - SAFEWAY",3807,0,4.119779
"221","BALTI/WASH - SUPER FRESH",1034,0,3.823017
"222","MILWAUKEE - KOHLS FOOD STORE",2300,0,2.639565
"223","NEW ORLEANS - WINN DIXIE",5111,0,2.425944
"224","BUFFALO/ROCHESTER - TOPS MARKETS",40009,0.22,1.706641
"225","BUFFALO/ROCHESTER - WEGMANS",2262,0.153333333,3.275862
"226","CHARLOTTE - BI LO",1576,0,2.333122
"227","CHARLOTTE - HARRIS TEETER",1815,0,2.711846
"228","CHARLOTTE - WINN DIXIE",2185,0,2.334096
"229","CHARLOTTE - FOOD LION",4297,0.057522124,2.683267
"230","HARTFORD - STOP & SHOP",1373,0,3.362709
"231","JACKSONVILLE,FL - PUBLIX",1634,0,3.035496
"232","JACKSONVILLE,FL - WINN DIXIE",2410,0,2.699585
"233","JACKSONVILLE,FL - FOOD LION",1110,0.028716783,2.708108
"234","LOUISVILLE - KROGER CO",3120,0.088,2.680449
"235","LOUISVILLE - WINN DIXIE",2067,0.224,2.600387
"236","RICHMOND/NORFOLK - FOOD LION",6321,0.02211288,2.775194
"237","RICHMOND/NORFOLK - NEW FARM FRESH",2481,0,2.528416
"238","COLUMBUS,OH - BIG BEAR",5185,0.0515,2.029701
"239","COLUMBUS,OH - KROGER CO",4572,0.067689931,2.653106
"240","LITTLE ROCK - HARVEST FOODS",1634,0.020932262,2.979804
"241","WICHITA - DILLON COMPANIES",1283,0,3.134061
"242","SOUTH CAROLINA - BI LO",7223,0.116,2.333241
"243","SOUTH CAROLINA - FOOD LION",3519,0,2.591077
"244","SOUTH CAROLINA - WINN DIXIE",2985,0,2.3866
"245","ORLANDO,FL - PUBLIX",4357,0,2.980721
"246","ORLANDO,FL - WINN DIXIE",4620,0,2.391558
"247","ORLANDO,FL - FOOD LION",1052,0.119160486,2.658745
"248","SYRACUSE - P & C FOOD MARKE",1746,0,2.520619
"249","SYRACUSE - PRICE CHOPPER",513,0,2.82846
"250","SYRACUSE - WEGMANS",656,0.124,3.472561
"251","NEW ENGLAND (NORTH) - SHOP N SAVE",3408,0,2.387031
"252","SAN ANT/CORPUS CHR - H E BUTT",14907,0.108,3.186624
"253","BIRMINGHAM/MONTGOM - BRUNOS",10417,0.075271637,2.150139
"254","BIRMINGHAM/MONTGOM - KROGER",1416,0.152,2.653249
"255","BIRMINGHAM/MONTGOM - WINN DIXIE",4097,0.031531693,2.679033
"256","HARRISBURG/SCRANTN - GIANT FOOD STO",1194,0.15,3.122278
"257","NEW YORK (NEW) - A & P",3528,0,4.395692
"258","NEW YORK (NEW) - PATHMARK",3829,0.059309407,4.386524
"259","NEW YORK (NEW) - WALDBAUMS",1800,0,4.463889
"260","ROANOKE (NEW) - FOOD LION",2919,0.050029197,2.732443
"261","ROANOKE (NEW) - KROGER CO",3737,0.018296337,2.769869
"262","LOS ANGELES - LUCKY",12042,0.1605,3.132038
"263","LOS ANGELES - RALPHS",10311,0.475,3.053438
"264","LOS ANGELES - VONS",11213,0.055,3.235709
"265","CHICAGO - DOMINICK",5734,0.012364775,3.290896
"266","CHICAGO - JEWEL",48983,0.252193059,1.986648
"267","CHICAGO - OMNI",2948,0,2.736771
"268","HOUSTON - KROGER CO",13066,0.232333333,2.442829
"269","HOUSTON - RANDALLS",6917,0,2.813648
"270","PITTSBURGH - GIANT EAGLE",3455,0,3.235311
"271","DETROIT - FARMER JACKS",6554,0.065625,3.216509
"272","DETROIT - KROGER CO",3630,0,2.811295
"273","CLEVELAND - STOP N SHOP",4156,0,2.947305
"274","ST. LOUIS - NATIONAL SUPER",2208,0,3.725996
"275","ST. LOUIS - SCHNUCK MARKETS",7602,0.076,2.439095
"276","DALLAS/FT. WORTH - ALBERTSONS",3720,0,3.18629
"277","DALLAS/FT. WORTH - KROGER CO",3047,0,3.728585
"278","DALLAS/FT. WORTH - TOM THUMB",2775,0.0835,3.053694
"279","BOSTON - SHAWS",3234,0,2.468769
"280","BOSTON - STAR MARKET",916,0,3.117904
"281","BOSTON - STOP & SHOP",1889,0,2.605611
"282","SAN FRANCISCO - LUCKY",6654,0.082581668,3.408626
"283","TAMPA/ST. PETE - KASH N KARRY",4179,0,3.068437
"284","TAMPA/ST. PETE - PUBLIX",4249,0,3.028007
"285","TAMPA/ST. PETE - WINN DIXIE",5009,0.014415963,2.708525
"286","DENVER - KING SOOPERS INC",3327,0,3.761046
"287","PHILADELPHIA - ACME MARKET",3633,0.12,3.682356
"288","ATLANTA - KROGER CO",8076,0.025775249,2.379148
"289","ATLANTA - WINN DIXIE",2368,0.186,2.640203
"290","CINCINNATI - KROGER CO",6201,0,2.653282
"291","INDIANAPOLIS - KROGER CO",3882,0.037052811,2.66306
"292","OKLAHOMA CITY - HOMELAND",2278,0.182397988,2.519754
"293","SACRAMENTO - RALEYS",1506,0.087,3.839973
"294","SAN DIEGO - LUCKY",3507,0.2265,3.646992
"295","SAN DIEGO - RALPHS",2721,0.312,3.052922
"296","SALT LAKE CITY - SMITHS FOOD",711,0.067,3.974684
"297","PHOENIX - SAFEWAY",961,0,3.586889
"298","PHOENIX - FRY'S FOOD STORE",1833,0,3.719585
"299","PHOENIX - SMITHS FOOD",1254,0,3.637959
"300","MIAMI - PUBLIX",10104,0.00267718,2.746041
"301","MIAMI - WINN DIXIE",8750,0,2.542857
"302","NASHVILLE - KROGER CO",2810,0.185,2.828826
"303","RALEIGH/GREENSBORO - WINN DIXIE",2132,0.016652755,2.529081
"304","RALEIGH/GREENSBORO - FOOD LION",5678,0.020748954,2.683868
"305","ALBANY,NY - PRICE CHOPPER",789,0,3.051965
"306","BALTI/WASH - GIANT FOOD INC",4673,0,3.788145
"307","BALTI/WASH - SAFEWAY",3357,0,4.120643
"308","BALTI/WASH - SUPER FRESH",1435,0,3.794425
"309","MILWAUKEE - KOHLS FOOD STORE",2048,0,3.067383
"310","NEW ORLEANS - WINN DIXIE",5528,0,2.388929
"311","BUFFALO/ROCHESTER - TOPS MARKETS",3587,0.0695,3.278227
"312","BUFFALO/ROCHESTER - WEGMANS",2874,0.152666667,3.285317
"313","CHARLOTTE - BI LO",1464,0,2.333333
"314","CHARLOTTE - HARRIS TEETER",1660,0,2.708434
"315","CHARLOTTE - WINN DIXIE",2090,0,2.333014
"316","CHARLOTTE - FOOD LION",4905,0,2.696636
"317","HARTFORD - STOP & SHOP",1683,0,3.373737
"318","JACKSONVILLE,FL - PUBLIX",1261,0,3.016653
"319","JACKSONVILLE,FL - WINN DIXIE",3064,0,2.61782
"320","JACKSONVILLE,FL - FOOD LION",1458,0.092164336,2.713306
"321","LOUISVILLE - KROGER CO",3154,0.082183369,2.690869
"322","LOUISVILLE - WINN DIXIE",1689,0.462,2.600355
"323","RICHMOND/NORFOLK - FOOD LION",6548,0.022251085,2.809407
"324","RICHMOND/NORFOLK - NEW FARM FRESH",2904,0,2.546832
"325","COLUMBUS,OH - BIG BEAR",6122,0.0515,2.051127
"326","COLUMBUS,OH - KROGER CO",13588,0.111242356,1.999926
"327","LITTLE ROCK - HARVEST FOODS",1537,0.048608541,2.825634
"328","WICHITA - DILLON COMPANIES",1065,0,3.149296
"329","SOUTH CAROLINA - BI LO",6840,0.117,2.333333
"330","SOUTH CAROLINA - FOOD LION",3133,0,2.638685
"331","SOUTH CAROLINA - WINN DIXIE",561,0,2.388592
"332","ORLANDO,FL - PUBLIX",4212,0.008784603,3.019943
"333","ORLANDO,FL - WINN DIXIE",4271,0.029562801,2.493327
"334","ORLANDO,FL - FOOD LION",1157,0.034829535,2.681072
"335","SYRACUSE - P & C FOOD MARKE",1002,0,3.372255
"336","SYRACUSE - PRICE CHOPPER",611,0,2.949264
"337","SYRACUSE - WEGMANS",998,0.179,3.472946
"338","NEW ENGLAND (NORTH) - SHOP N SAVE",3682,0,2.386746
"339","SAN ANT/CORPUS CHR - H E BUTT",14344,0.138,3.959983
"340","BIRMINGHAM/MONTGOM - BRUNOS",11799,0.021748439,2.181795
"341","BIRMINGHAM/MONTGOM - KROGER",1618,0,2.653276
"342","BIRMINGHAM/MONTGOM - WINN DIXIE",4807,0.069235332,2.344082
"343","HARRISBURG/SCRANTN - GIANT FOOD STO",1768,0.15,2.653846
"344","NEW YORK (NEW) - A & P",3738,0,4.399946
"345","NEW YORK (NEW) - PATHMARK",53773,0.229937307,2.653358
"346","NEW YORK (NEW) - WALDBAUMS",2801,0,4.521242
"347","ROANOKE (NEW) - FOOD LION",3949,0.017084413,2.772601
"348","ROANOKE (NEW) - KROGER CO",4433,0.021215645,2.894879
"349","LOS ANGELES - LUCKY",11932,0.121,2.618337
"350","LOS ANGELES - RALPHS",8125,0.259,3.719385
"351","LOS ANGELES - VONS",10330,0,3.278703
"352","CHICAGO - DOMINICK",5695,0,3.293942
"353","CHICAGO - JEWEL",42550,0.073032597,3.038049
"354","CHICAGO - OMNI",3627,0,2.624207
"355","HOUSTON - KROGER CO",10467,0.179707857,2.436324
"356","HOUSTON - RANDALLS",2154,0,2.621634
"357","PITTSBURGH - GIANT EAGLE",7229,0.021471299,2.212063
"358","DETROIT - FARMER JACKS",3847,0,3.195477
"359","DETROIT - KROGER CO",4386,0,2.749202
"360","CLEVELAND - STOP N SHOP",3901,0,2.97616
"361","ST. LOUIS - NATIONAL SUPER",2148,0,3.721136
"362","ST. LOUIS - SCHNUCK MARKETS",7888,0.051802233,2.400228
"363","DALLAS/FT. WORTH - ALBERTSONS",3505,0,3.186591
"364","DALLAS/FT. WORTH - KROGER CO",2240,0.0675,3.733482
"365","DALLAS/FT. WORTH - TOM THUMB",3492,0,2.95189
"366","BOSTON - SHAWS",3553,0,2.471433
"367","BOSTON - STAR MARKET",824,0,3.120146
"368","BOSTON - STOP & SHOP",2492,0,2.600321
"369","SAN FRANCISCO - LUCKY",7095,0.082581668,3.421142
"370","TAMPA/ST. PETE - KASH N KARRY",4229,0,2.940648
"371","TAMPA/ST. PETE - PUBLIX",4881,0,2.897972
"372","TAMPA/ST. PETE - WINN DIXIE",5248,0.050034481,2.549924
"373","DENVER - KING SOOPERS INC",4313,0,3.524693
"374","PHILADELPHIA - ACME MARKET",3484,0.066,3.652698
"375","ATLANTA - KROGER CO",9017,0.066049075,2.408894
"376","ATLANTA - WINN DIXIE",2824,0.186,2.640581
"377","CINCINNATI - KROGER CO",5546,0,2.894338
"378","INDIANAPOLIS - KROGER CO",3517,0.076,2.653398
"379","OKLAHOMA CITY - HOMELAND",2486,0.237972545,2.477072
"380","SACRAMENTO - RALEYS",1643,0.174,3.853317
"381","SAN DIEGO - LUCKY",3775,0.065,2.743046
"382","SAN DIEGO - RALPHS",2047,0.311,3.71617
"383","SALT LAKE CITY - SMITHS FOOD",794,0.067,3.604534
"384","PHOENIX - SAFEWAY",1775,0.161,2.652394
"385","PHOENIX - FRY'S FOOD STORE",1702,0,3.720917
"386","PHOENIX - SMITHS FOOD",1278,0.191,3.71831
"387","MIAMI - PUBLIX",10883,0.01391355,2.578058
"388","MIAMI - WINN DIXIE",8938,0,2.525621
"389","NASHVILLE - KROGER CO",4272,0.185,2.11985
"390","RALEIGH/GREENSBORO - WINN DIXIE",3127,0.026030903,2.490246
"391","RALEIGH/GREENSBORO - FOOD LION",6111,0.026794931,2.59712
"392","ALBANY,NY - PRICE CHOPPER",1585,0,3.052997
"393","BALTI/WASH - GIANT FOOD INC",4842,0,3.797811
"394","BALTI/WASH - SAFEWAY",2693,0,4.119198
"395","BALTI/WASH - SUPER FRESH",1392,0,3.815374
"396","MILWAUKEE - KOHLS FOOD STORE",1469,0,3.071477
"397","NEW ORLEANS - WINN DIXIE",5180,0,2.376062
"398","BUFFALO/ROCHESTER - TOPS MARKETS",1920,0.0395,3.243229
"399","BUFFALO/ROCHESTER - WEGMANS",12063,0.284,2.678604
"400","CHARLOTTE - BI LO",1765,0,2.333144
"401","CHARLOTTE - HARRIS TEETER",1589,0,2.716174
"402","CHARLOTTE - WINN DIXIE",2921,0,2.33242
"403","CHARLOTTE - FOOD LION",5257,0.021666667,2.603766
"404","HARTFORD - STOP & SHOP",1583,0,3.393557
"405","JACKSONVILLE,FL - PUBLIX",1525,0.0484375,2.876721
"406","JACKSONVILLE,FL - WINN DIXIE",2827,0,2.531659
"407","JACKSONVILLE,FL - FOOD LION",1604,0.036164399,2.697631
"408","LOUISVILLE - KROGER CO",3734,0.074207056,2.681575
"409","LOUISVILLE - WINN DIXIE",1621,0.224,2.600247
"410","RICHMOND/NORFOLK - FOOD LION",6479,0.046302889,2.749498
"411","RICHMOND/NORFOLK - NEW FARM FRESH",2784,0,2.54023
"412","COLUMBUS,OH - BIG BEAR",1620,0.1365,3.217284
"413","COLUMBUS,OH - KROGER CO",5153,0.04699378,2.652824
"414","LITTLE ROCK - HARVEST FOODS",2872,0,2.637883
"415","WICHITA - DILLON COMPANIES",1262,0,2.9271
"416","SOUTH CAROLINA - BI LO",7217,0.117,2.33338
"417","SOUTH CAROLINA - FOOD LION",3920,0.050916269,2.592602
"418","SOUTH CAROLINA - WINN DIXIE",2814,0,2.386638
"419","ORLANDO,FL - PUBLIX",4670,0.023443089,2.923769
"420","ORLANDO,FL - WINN DIXIE",4338,0,2.631397
"421","ORLANDO,FL - FOOD LION",1109,0.09462201,2.659152
"422","SYRACUSE - P & C FOOD MARKE",688,0,3.3125
"423","SYRACUSE - PRICE CHOPPER",1220,0,3.098361
"424","SYRACUSE - WEGMANS",5177,0.533,2.663705
"425","NEW ENGLAND (NORTH) - SHOP N SAVE",4825,0,1.989016
